title,title_jp,title_cn,year,genre,mal_score,mal_rank,mal_votes,mal_percentile,imdb_score,imdb_rank,imdb_votes,imdb_percentile,bgm_score,bgm_rank,bgm_votes,bgm_percentile
Kaguya-sama wa Kokurasetai: Ultra Romantic,かぐや様は告らせたい-ウルトラロマンティック-,辉夜大小姐想让我告白-超级浪漫-,2022,Comedy|Romance|Action|Adventure,8.96,12,625363,94.5,7.7,146.0,13938.0,3.33,8.3,35.0,22038.0,72.13
Fruits Basket: The Final,フルーツバスケット The Final,进击的巨人 最终季,2021,Drama|Romance|Supernatural|Comedy,8.94,13,276961,94.0,8.5,54.0,12983.0,64.67,7.7,89.0,14352.0,27.87
Clannad: After Story,CLANNAD〜AFTER STORY〜 クラナド アフターストーリー,,2008,Drama|Romance|Crime,8.93,15,696419,93.0,8.9,9.0,468861.0,94.67,9.2,1.0,30021.0,100.0
Gintama,銀魂,银魂,2006,Action|Comedy|Sci-Fi|Drama,8.93,14,421702,93.5,8.5,53.0,8862.0,65.33,8.7,9.0,13384.0,93.44
Kusuriya no Hitorigoto 2nd Season,薬屋のひとりごと 第2期,药屋少女的呢喃 第二季,2025,Drama|Mystery|History,8.91,16,241835,92.5,8.6,50.0,22476.0,67.33,7.5,101.0,6376.0,18.03
Code Geass: Hangyaku no Lelouch R2,コードギアス 反逆のルルーシュ R2,Code Geass 反叛的鲁路修R2,2008,Award Winning|Drama|Sci-Fi|Action,8.91,17,1287478,92.0,8.7,36.0,101012.0,76.67,8.3,28.0,17817.0,77.87
3-gatsu no Lion 2nd Season,3月のライオン 第2シリーズ,3月的狮子 第二季,2017,Drama|Adventure|Comedy,8.9,18,214016,91.5,8.7,35.0,1013.0,77.33,8.8,6.0,10099.0,95.9
Monster,モンスター,,2004,Drama|Mystery|Suspense|Crime,8.89,19,502668,91.0,8.7,34.0,67444.0,78.0,,,,
Gintama. Shirogane no Tamashii-hen - Kouhan-sen,銀魂. 銀ノ魂篇 後半戦,,2018,Action|Comedy|Sci-Fi,8.88,20,106306,90.5,,,,,,,,
Kusuriya no Hitorigoto,薬屋のひとりごと,药屋少女的呢喃,2023,Drama|Mystery|History,8.85,21,452771,90.0,8.6,49.0,22476.0,68.0,7.5,103.0,10773.0,16.39
Kingdom 3rd Season,キングダム 第3シリーズ,,2020,Action|Adventure,8.84,22,54370,89.5,8.3,102.0,8449.0,32.67,,,,
Vinland Saga Season 2,ヴィンランド・サガ SEASON2,冰海战记 第二季,2023,Action|Adventure|Drama,8.82,23,469696,89.0,8.3,100.0,51454.0,34.0,8.1,54.0,7577.0,56.56
Gintama. Shirogane no Tamashii-hen,銀魂. 銀ノ魂篇,,2018,Action|Comedy|Sci-Fi|Adventure|Drama,8.81,24,115162,88.5,8.4,89.0,19.0,41.33,,,,
Mob Psycho 100 II,モブサイコ100 II,灵能百分百 第二季,2019,Action|Comedy|Supernatural,8.78,28,1078547,86.5,8.5,66.0,64638.0,56.67,8.1,56.0,14506.0,54.92
