rank,title,title_jp,score,scored_by,members,year,genres,url
155,Jujutsu Kaisen,呪術廻戦,8.51,1964905,2981552,2020,Action|Award Winning|Supernatural,https://myanimelist.net/anime/40748/Jujutsu_Kaisen
160,Grand Blue Season 2,ぐらんぶる Season 2,8.5,81731,188882,2025,Comedy,https://myanimelist.net/anime/59986/Grand_Blue_Season_2
166,Yuru Camp△ Season 2,ゆるキャン△ SEASON2,8.5,112351,251808,2021,Slice of Life,https://myanimelist.net/anime/38474/Yuru_Camp△_Season_2
165,Sora yori mo Tooi Basho,宇宙よりも遠い場所,8.5,234885,550076,2018,Adventure|Comedy|Drama,https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
161,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,ジョジョの奇妙な冒険 ダイヤモンドは砕けない,8.5,864640,1251458,2016,Action|Adventure,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai
169,Mob Psycho 100,モブサイコ100,8.49,1407795,2295897,2016,Action|Comedy|Supernatural,https://myanimelist.net/anime/32182/Mob_Psycho_100
173,Uchuu Kyoudai,宇宙兄弟,8.48,55797,209537,2012,Comedy,https://myanimelist.net/anime/12431/Uchuu_Kyoudai
171,One Punch Man,ワンパンマン,8.48,2405300,3490969,2015,Action|Comedy,https://myanimelist.net/anime/30276/One_Punch_Man
172,Ousama Ranking,王様ランキング,8.48,394688,747410,2021,Adventure|Fantasy,https://myanimelist.net/anime/40834/Ousama_Ranking
175,Yakusoku no Neverland,約束のネバーランド,8.47,1388005,2136981,2019,Mystery|Suspense,https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
177,Ansatsu Kyoushitsu 2nd Season,暗殺教室　第２期,8.47,966204,1555994,2016,Action|Comedy,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_2nd_Season
178,Aria the Origination,ARIA The ORIGINATION,8.47,34660,141047,2008,Sci-Fi|Slice of Life,https://myanimelist.net/anime/3297/Aria_the_Origination
176,Nichijou,日常,8.47,398809,975585,2011,Comedy,https://myanimelist.net/anime/10165/Nichijou
180,Rainbow: Nisha Rokubou no Shichinin,RAINBOW 二舎六房の七人,8.46,166428,422719,2010,Drama|Suspense,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
180,Summertime Render,サマータイムレンダ,8.46,285824,665988,2022,Mystery|Supernatural|Suspense,https://myanimelist.net/anime/47194/Summertime_Render
